Time,Channel A
(ms),(mV)

0.01612800,51.07345000
0.01617600,46.82886000
0.01622400,46.82886000
0.01627200,46.82886000
0.01632000,46.82886000
0.01636800,42.56889000
0.01641600,46.82886000
0.01646400,46.82886000
0.01651200,42.56889000
0.01656000,51.07345000
0.01660800,46.82886000
0.01665600,46.82886000
0.01670400,46.82886000
0.01675200,42.56889000
0.01680000,38.30893000
0.01684800,42.56889000
0.01689600,46.82886000
0.01694400,46.82886000
0.01699200,46.82886000
0.01704000,42.56889000
0.01708800,46.82886000
0.01713600,42.56889000
0.01718400,42.56889000
0.01723200,42.56889000
0.01728000,42.56889000
0.01732800,42.56889000
0.01737600,42.56889000
0.01742400,42.56889000
0.01747200,38.30893000
0.01752000,42.56889000
0.01756800,42.56889000
0.01761600,38.30893000
0.01766400,42.56889000
0.01771200,38.30893000
0.01776000,46.82886000
0.01780800,42.56889000
0.01785600,42.56889000
0.01790400,42.56889000
0.01795200,42.56889000
0.01800000,38.30893000
0.01804800,42.56889000
0.01809600,34.04897000
0.01814400,38.30893000
0.01819200,38.30893000
0.01824000,38.30893000
0.01828800,42.56889000
0.01833600,42.56889000
0.01838400,38.30893000
0.01843200,38.30893000
0.01848000,38.30893000
0.01852800,38.30893000
0.01857600,38.30893000
0.01862400,38.30893000
0.01867200,34.04897000
0.01872000,38.30893000
0.01876800,42.56889000
0.01881600,38.30893000
0.01886400,34.04897000
0.01891200,42.56889000
0.01896000,42.56889000
0.01900800,38.30893000
0.01905600,42.56889000
0.01910400,42.56889000
0.01915200,8.50455100
0.01920000,51.07345000
0.01924800,21.28445000
0.01929600,51.07345000
0.01934400,21.28445000
0.01939200,34.04897000
0.01944000,34.04897000
0.01948800,8.50455100
0.01953600,42.56889000
0.01958400,29.78900000
0.01963200,42.56889000
0.01968000,38.30893000
0.01972800,42.56889000
0.01977600,21.28445000
0.01982400,34.04897000
0.01987200,29.78900000
0.01992000,21.28445000
0.01996800,46.82886000
0.02001600,42.56889000
0.02006400,17.02448000
0.02011200,34.04897000
0.02016000,34.04897000
0.02020800,29.78900000
0.02025600,29.78900000
0.02030400,21.28445000
0.02035200,29.78900000
0.02040000,17.02448000
0.02044800,21.28445000
0.02049600,17.02448000
0.02054400,42.56889000
0.02059200,17.02448000
0.02064000,25.52903000
0.02068800,29.78900000
0.02073600,0.00000000
0.02078400,34.04897000
0.02083200,4.24458600
0.02088000,34.04897000
0.02092800,29.78900000
0.02097600,4.24458600
0.02102400,21.28445000
0.02107200,12.76452000
0.02112000,8.50455100
0.02116800,38.30893000
0.02121600,-4.24458600
0.02126400,29.78900000
0.02131200,-4.24458600
0.02136000,25.52903000
0.02140800,25.52903000
0.02145600,12.76452000
0.02150400,21.28445000
0.02155200,17.02448000
0.02160000,8.50455100
0.02164800,42.56889000
0.02169600,12.76452000
0.02174400,25.52903000
0.02179200,4.24458600
0.02184000,-8.50455100
0.02188800,29.78900000
0.02193600,12.76452000
0.02198400,0.00000000
0.02203200,8.50455100
0.02208000,12.76452000
0.02212800,8.50455100
0.02217600,4.24458600
0.02222400,12.76452000
0.02227200,4.24458600
0.02232000,17.02448000
0.02236800,0.00000000
0.02241600,12.76452000
0.02246400,4.24458600
0.02251200,4.24458600
0.02256000,12.76452000
0.02260800,0.00000000
0.02265600,8.50455100
0.02270400,4.24458600
0.02275200,-8.50455100
0.02280000,8.50455100
0.02284800,4.24458600
0.02289600,0.00000000
0.02294400,8.50455100
0.02299200,0.00000000
0.02304000,4.24458600
0.02308800,0.00000000
0.02313600,0.00000000
0.02318400,8.50455100
0.02323200,0.00000000
0.02328000,0.00000000
0.02332800,0.00000000
0.02337600,-4.24458600
0.02342400,8.50455100
0.02347200,4.24458600
0.02352000,0.00000000
0.02356800,8.50455100
0.02361600,25.52903000
0.02366400,-17.02448000
0.02371200,12.76452000
0.02376000,0.00000000
0.02380800,-8.50455100
0.02385600,-4.24458600
0.02390400,-8.50455100
0.02395200,-4.24458600
0.02400000,0.00000000
0.02404800,-8.50455100
0.02409600,-8.50455100
0.02414400,-8.50455100
0.02419200,-8.50455100
0.02424000,-12.76452000
0.02428800,-4.24458600
0.02433600,-8.50455100
0.02438400,-8.50455100
0.02443200,-8.50455100
0.02448000,-4.24458600
0.02452800,-8.50455100
0.02457600,-12.76452000
0.02462400,-12.76452000
0.02467200,-12.76452000
0.02472000,-21.28445000
0.02476800,-12.76452000
0.02481600,-8.50455100
0.02486400,-17.02448000
0.02491200,-21.28445000
0.02496000,-12.76452000
0.02500800,-17.02448000
0.02505600,-17.02448000
0.02510400,-17.02448000
0.02515200,-17.02448000
0.02520000,-17.02448000
0.02524800,-17.02448000
0.02529600,-17.02448000
0.02534400,-17.02448000
0.02539200,-17.02448000
0.02544000,-17.02448000
0.02548800,-21.28445000
0.02553600,-17.02448000
0.02558400,-21.28445000
0.02563200,-21.28445000
0.02568000,-12.76452000
0.02572800,-21.28445000
0.02577600,-21.28445000
0.02582400,-21.28445000
0.02587200,-29.78900000
0.02592000,-17.02448000
0.02596800,-21.28445000
0.02601600,-25.52903000
0.02606400,-25.52903000
0.02611200,-25.52903000
0.02616000,-29.78900000
0.02620800,-25.52903000
0.02625600,-29.78900000
0.02630400,-21.28445000
0.02635200,-25.52903000
0.02640000,-25.52903000
0.02644800,-25.52903000
0.02649600,-21.28445000
0.02654400,-29.78900000
0.02659200,-25.52903000
0.02664000,-29.78900000
0.02668800,-29.78900000
0.02673600,-29.78900000
0.02678400,-29.78900000
0.02683200,-29.78900000
0.02688000,-29.78900000
0.02692800,-34.04897000
0.02697600,-29.78900000
0.02702400,-34.04897000
0.02707200,-34.04897000
0.02712000,-34.04897000
0.02716800,-29.78900000
0.02721600,-29.78900000
0.02726400,-34.04897000
0.02731200,-34.04897000
0.02736000,-34.04897000
0.02740800,-34.04897000
0.02745600,-38.30893000
0.02750400,-34.04897000
0.02755200,-34.04897000
0.02760000,-38.30893000
0.02764800,-34.04897000
0.02769600,-34.04897000
0.02774400,-38.30893000
0.02779200,-42.56889000
0.02784000,-46.82886000
0.02788800,-38.30893000
0.02793600,-38.30893000
0.02798400,-42.56889000
0.02803200,-34.04897000
0.02808000,-46.82886000
0.02812800,-38.30893000
0.02817600,-34.04897000
0.02822400,-42.56889000
0.02827200,-51.07345000
0.02832000,-38.30893000
0.02836800,-38.30893000
0.02841600,-38.30893000
0.02846400,-42.56889000
0.02851200,-38.30893000
0.02856000,-46.82886000
0.02860800,-42.56889000
0.02865600,-38.30893000
0.02870400,-46.82886000
0.02875200,-38.30893000
0.02880000,-25.52903000
0.02884800,-55.33341000
0.02889600,-12.76452000
0.02894400,-68.11331000
0.02899200,-42.56889000
0.02904000,-29.78900000
0.02908800,-51.07345000
0.02913600,-25.52903000
0.02918400,-63.85334000
0.02923200,-38.30893000
0.02928000,-68.11331000
0.02932800,-34.04897000
0.02937600,-34.04897000
0.02942400,-46.82886000
0.02947200,-42.56889000
0.02952000,-46.82886000
0.02956800,-38.30893000
0.02961600,-68.11331000
0.02966400,-29.78900000
0.02971200,-46.82886000
0.02976000,-51.07345000
0.02980800,-34.04897000
0.02985600,-55.33341000
0.02990400,-51.07345000
0.02995200,-38.30893000
0.03000000,-46.82886000
0.03004800,-29.78900000
0.03009600,-55.33341000
0.03014400,-46.82886000
0.03019200,-46.82886000
0.03024000,-46.82886000
0.03028800,-42.56889000
0.03033600,-46.82886000
0.03038400,-34.04897000
0.03043200,-63.85334000
0.03048000,-38.30893000
0.03052800,-72.35789000
0.03057600,-38.30893000
0.03062400,-42.56889000
0.03067200,-55.33341000
0.03072000,-46.82886000
0.03076800,-63.85334000
0.03081600,-68.11331000
0.03086400,-25.52903000
0.03091200,-63.85334000
0.03096000,-42.56889000
0.03100800,-55.33341000
0.03105600,-63.85334000
0.03110400,-38.30893000
0.03115200,-59.59338000
0.03120000,-38.30893000
0.03124800,-55.33341000
0.03129600,-59.59338000
0.03134400,-51.07345000
0.03139200,-51.07345000
0.03144000,-25.52903000
0.03148800,-46.82886000
0.03153600,-55.33341000
0.03158400,-42.56889000
0.03163200,-55.33341000
0.03168000,-42.56889000
0.03172800,-42.56889000
0.03177600,-59.59338000
0.03182400,-46.82886000
0.03187200,-46.82886000
0.03192000,-46.82886000
0.03196800,-55.33341000
0.03201600,-46.82886000
0.03206400,-55.33341000
