Time,Channel B
(us),(V)

362.44798975,0.02531373
362.46398975,0.00842766
362.47998975,0.03377214
362.49598975,0.04223056
362.51198975,0.02531373
362.52798975,0.00842766
362.54398975,0.04223056
362.55998975,0.02531373
362.57598975,0.01688607
362.59198975,0.02531373
362.60798974,0.04223056
362.62398974,0.02531373
362.63998974,0.00000000
362.65598974,0.02531373
362.67198974,0.05911664
362.68798974,0.02531373
362.70398974,0.00000000
362.71998974,0.04223056
362.73598974,0.03377214
362.75198974,0.01688607
362.76798974,0.02531373
362.78398974,0.03377214
362.79998974,0.03377214
362.81598974,0.02531373
362.83198974,0.01688607
362.84798974,0.02531373
362.86398974,0.02531373
362.87998974,0.02531373
362.89598974,0.00842766
362.91198974,0.02531373
362.92798974,0.03377214
362.94398974,0.01688607
362.95998973,0.01688607
362.97598973,0.03377214
362.99198973,0.01688607
363.00798973,0.02531373
363.02398973,0.02531373
363.03998973,0.01688607
363.05598973,0.03377214
363.07198973,0.02531373
363.08798973,0.01688607
363.10398973,0.02531373
363.11998973,0.02531373
363.13598973,0.01688607
363.15198973,0.01688607
363.16798973,0.02531373
363.18398973,0.02531373
363.19998973,0.01688607
363.21598973,0.01688607
363.23198973,0.02531373
363.24798973,0.01688607
363.26398973,0.02531373
363.27998973,0.01688607
363.29598973,0.01688607
363.31198972,0.02531373
363.32798972,0.01688607
363.34398972,0.01688607
363.35998972,0.01688607
363.37598972,0.02531373
363.39198972,0.02531373
363.40798972,0.01688607
363.42398972,0.01688607
363.43998972,0.02531373
363.45598972,0.02531373
363.47198972,0.01688607
363.48798972,0.01688607
363.50398972,0.02531373
363.51998972,0.01688607
363.53598972,0.01688607
363.55198972,0.01688607
363.56798972,0.02531373
363.58398972,0.01688607
363.59998972,0.01688607
363.61598972,0.02531373
363.63198972,0.02531373
363.64798972,0.01688607
363.66398971,0.01688607
363.67998971,0.01688607
363.69598971,0.00842766
363.71198971,0.01688607
363.72798971,0.02531373
363.74398971,0.01688607
363.75998971,0.01688607
363.77598971,0.01688607
363.79198971,0.01688607
363.80798971,0.00842766
363.82398971,0.01688607
363.83998971,0.02531373
363.85598971,0.01688607
363.87198971,0.00000000
363.88798971,0.00000000
363.90398971,0.02531373
363.91998971,0.03377214
363.93598971,0.00842766
363.95198971,0.02531373
363.96798971,0.03377214
363.98398971,-0.02531373
363.99998971,0.00842766
364.01598970,0.05065822
364.03198970,0.02531373
364.04798970,0.00842766
364.06398970,-0.01688607
364.07998970,0.00842766
364.09598970,0.05065822
364.11198970,0.01688607
364.12798970,-0.04223056
364.14398970,0.05911664
364.15998970,0.00842766
364.17598970,-0.00842766
364.19198970,0.02531373
364.20798970,0.02531373
364.22398970,0.00842766
364.23998970,0.00842766
364.25598970,0.00000000
364.27198970,0.02531373
364.28798970,0.02531373
364.30398970,-0.00842766
364.31998970,0.00842766
364.33598970,0.02531373
364.35198970,0.01688607
364.36798969,0.00842766
364.38398969,0.01688607
364.39998969,0.02531373
364.41598969,-0.01688607
364.43198969,0.00000000
364.44798969,0.04223056
364.46398969,0.01688607
364.47998969,-0.01688607
364.49598969,0.00000000
364.51198969,0.00842766
364.52798969,0.02531373
364.54398969,0.01688607
364.55998969,-0.00842766
364.57598969,0.00000000
364.59198969,0.01688607
364.60798969,0.00842766
364.62398969,0.00842766
364.63998969,0.00842766
364.65598969,0.00842766
364.67198969,0.00000000
364.68798969,0.00842766
364.70398969,0.00842766
364.71998969,0.00842766
364.73598968,0.00000000
364.75198968,0.00000000
364.76798968,0.01688607
364.78398968,0.01688607
364.79998968,0.00842766
364.81598968,0.00000000
364.83198968,0.00842766
364.84798968,0.01688607
364.86398968,0.00842766
364.87998968,0.00000000
364.89598968,0.00842766
364.91198968,0.00842766
364.92798968,0.00842766
364.94398968,0.00842766
364.95998968,0.00000000
364.97598968,0.00000000
364.99198968,0.00000000
365.00798968,0.00000000
365.02398968,0.00000000
365.03998968,-0.03377214
365.05598968,0.00000000
365.07198968,0.04223056
365.08798967,-0.01688607
365.10398967,-0.01688607
365.11998967,0.00000000
365.13598967,0.00842766
365.15198967,0.00842766
365.16798967,0.00000000
