1543,10279,-776,4381
1029,10279,-517,4638
257,10279,-517,4638
0,10279,-258,4896
-771,10279,-258,5154
-1286,10536,0,5154
-1800,10536,258,5411
-2315,10536,258,5669
-3087,10536,258,5669
-3601,10536,517,5669
-4116,10793,517,6185
-4630,10793,776,6185
-5402,10536,776,6442
-5917,10536,776,6700
-6431,10536,1035,6700
-6946,10279,1035,6700
-7460,10536,1035,6958
-7975,10279,1294,6958
-8747,10279,1294,6958
-9261,10022,1553,7215
-9776,10022,1553,7473
-10033,9508,1553,7473
-10548,9508,1553,7731
-11062,9251,1812,7731
-11577,9251,1812,7731
-12091,8737,2071,7989
-12606,8480,1812,7989
-13120,8480,2071,7989
-13378,8223,2071,7989
-13892,7709,2071,7989
-14407,7452,2329,8246
-14664,7195,2329,7989
-15179,6681,2329,8246
-15436,6681,2329,8246
-15950,6167,2329,8246
-16208,5910,2588,8246
-16722,5396,2588,8246
-18009,-1027,2847,7473
-17751,-1541,2847,7215
-17494,-2055,2588,7215
-17237,-2826,2847,6958
-16980,-3340,2847,6958
-16722,-4111,2847,6700
-16208,-4625,2847,6700
-15693,-5139,2588,6442
-15436,-5910,2847,6442
-15179,-6167,2588,6185
-14921,-7195,2588,5927
-14407,-7709,2588,5669
-14407,-8480,2588,5669
-14150,-8994,2588,5411
-13892,-9765,2588,5411
-13892,-10022,2588,4896
-13635,-10793,2588,4896
-13378,-11049,2588,4896
-13378,-11563,2329,4638
-13120,-12077,2588,4381
-12863,-12334,2329,4123
-12606,-12848,2329,4123
-12349,-13105,2329,3865
-12091,-13619,2329,3607
-11834,-13876,2071,3350
-11577,-14133,2329,3350
-11320,-14390,2071,3092
-11062,-14647,2071,2834
-10548,-14904,2071,2577
-10290,-14904,1812,2319
-10033,-15161,1812,2061
-9776,-15418,2071,1803
-9519,-15418,1812,1803
-9004,-15418,1812,1546
-8747,-15418,1553,1288
-8490,-15418,1553,1030
-8232,-15418,1294,1030
-7718,-15418,1553,773
-7460,-15418,1294,515
-6946,-15418,1035,515
-6689,-15418,1035,0
-6174,-15161,1035,-257
-5917,-15161,1035,-515
-5402,-14647,776,-515
-4888,-14647,776,-773
-4373,-14390,517,-1030
-4116,-14390,258,-1030
-3601,-14133,258,-1288
4630,-11563,-2071,-4123
5402,-11563,-2588,-4381
5917,-11306,-2588,-4638
6431,-11306,-2847,-4896
6946,-11049,-3106,-4896
7460,-11049,-3106,-5154
8232,-10793,-3365,-5411
8490,-10536,-3624,-5669
9261,-10536,-3883,-5669
9519,-10279,-3883,-5927
10290,-9765,-4142,-6185
10805,-10022,-4400,-6442
11320,-9765,-4400,-6442
11834,-9251,-4659,-6700
12349,-8994,-4918,-6958
12606,-8480,-5177,-6958
13120,-8223,-5177,-7215
13635,-7966,-5177,-7215
14150,-7709,-5436,-7473
14407,-7452,-5695,-7731
14664,-6938,-5954,-7731
15436,-6681,-6213,-7989
15693,-6681,-6213,-8246
16208,-6424,-6471,-8504
16465,-5910,-6730,-8504
16722,-5910,-6730,-8504
16980,-5396,-6989,-8762
17237,-5139,-7248,-8762
17751,-4625,-7248,-9019
18009,-4368,-7766,-9019
18009,-4111,-7766,-9277
18009,-3340,-7766,-9535
18266,-3083,-8025,-9535
18266,-2826,-8284,-9535
18266,-2312,-8284,-9793
18266,-1541,-8284,-9793
18523,-1284,-8542,-10050
18266,-770,-8542,-10050
18266,-256,-8801,-10308
18266,513,-8801,-10308
18009,1027,-9060,-10308
17751,1541,-9060,-10566
17751,2055,-9060,-10566
17494,2569,-9060,-10823
17494,3340,-9319,-10823
17237,4111,-9319,-11081
17237,4625,-9319,-11081
17237,5396,-9319,-11081
15179,14647,-8801,-11339
14921,15161,-8542,-11081
14921,15932,-8284,-11081
14664,16446,-8025,-11081
14407,17217,-8025,-11081
14407,17731,-7766,-10823
14150,18245,-7507,-10823
14150,18759,-7507,-10823
13892,19273,-7507,-10566
13892,19787,-7248,-10566
